,coordinates,created_at,id,name,text
84,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:21:56 +0000 2016,737378533069185025,pedrolo,@TyroneBajana Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
85,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:23:41 +0000 2016,737378971441082368,pedrolo,@mapiedadpv Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
86,"[[[-92.008973, -5.013285], [-92.008973, 1.681834], [-75.192627, 1.681834], [-75.192627, -5.013285]]]",Mon May 30 20:24:05 +0000 2016,737379074436403201,pedrolo,@MashiRoberto Detenido vehículo de pdte ECUARUNARI Carlos Pérez G por Agentes transito aduciendo no tener papales regla..Jajaja q lo guarden
87,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Mon May 09 14:01:47 +0000 2016,729672720691105792,Canal N,Accidente vehicular ocurrió en el cruce de la Av. Arequipa y Cuba ► https://t.co/gksnRBsdLM https://t.co/6mk7X6LPwE
88,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Thu May 26 18:48:55 +0000 2016,735905570956271616,cami,@mangelrogel no has atropellado a nadie cierto?
89,"0,0,0,0",Fri Jun 03 20:21:38 +0000 2016,738828009197690880,Alfredo Carrera,@AMTQuito trafico coliseo Rumiñahui
90,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Sun May 15 03:24:12 +0000 2016,731686591828201473,jorgeLL P,@marissol889 Choque y fuga?
91,"0,0,0,0",Tue May 24 20:28:48 +0000 2016,735205934583193600,wilenmoma,@AMTQuito favor informe congestion Av. Occidental secton ANT... gracias
92,"[[[-81.328148, -18.349728], [-81.328148, -0.03884], [-68.673088, -0.03884], [-68.673088, -18.349728]]]",Thu May 12 01:04:42 +0000 2016,730564324759089152,raul frank soto taip,@ChinoyAdolfo chupete choque y fuga
93,"0,0,0,0",Wed Jun 01 11:12:10 +0000 2016,737964956021313536,ConsulMovilidad,@AMTQuito demasiados accidentes en esa vía
